item_id,subject,engine_unit_id,problem_type_id,concept_ids,variant_id,variant_tags,near_duplicate_group,duplicate_of,mapping_status,mapping_confidence,review_status,diagnosis_weight,source_role,source_id,source_title,source_question_no,source_page,answer_key,difficulty,review_required,student_visible_source
SIDAE_SU1_MORE_ALG_Q001,대수,H2_EXP_LOG,H2_EL_PT041,H2_EL_C008;H2_EL_C013,H2_EL_PT041___BASIC_CONCEPT_FORM,exponent;basic_concept_form,H2_EL_PT041_01_basic_concept_form,,matched_by_source_subunit,,teacher_review_recommended,0.8,example_of_engine_type,SIDAE_SU1_MORE,시대인재 MORE 대수,001,,,,False,False
SIDAE_SU1_MORE_ALG_Q002,대수,H2_EXP_LOG,H2_EL_PT041,H2_EL_C008;H2_EL_C013,H2_EL_PT041___BASIC_CONCEPT_FORM,exponent;basic_concept_form,H2_EL_PT041_01_basic_concept_form,,matched_by_source_subunit,,teacher_review_recommended,0.8,example_of_engine_type,SIDAE_SU1_MORE,시대인재 MORE 대수,002,,,,False,False
SIDAE_SU1_MORE_ALG_Q003,대수,H2_EXP_LOG,H2_EL_PT041,H2_EL_C008;H2_EL_C013,H2_EL_PT041___BASIC_CONCEPT_FORM,exponent;basic_concept_form,H2_EL_PT041_01_basic_concept_form,,matched_by_source_subunit,,teacher_review_recommended,0.8,example_of_engine_type,SIDAE_SU1_MORE,시대인재 MORE 대수,003,,,,False,False
SIDAE_SU1_MORE_ALG_Q004,대수,H2_EXP_LOG,H2_EL_PT041,H2_EL_C008;H2_EL_C013,H2_EL_PT041___BASIC_CONCEPT_FORM,exponent;basic_concept_form,H2_EL_PT041_01_basic_concept_form,,matched_by_source_subunit,,teacher_review_recommended,0.8,example_of_engine_type,SIDAE_SU1_MORE,시대인재 MORE 대수,004,,,,False,False
SIDAE_SU1_MORE_ALG_Q005,대수,H2_EXP_LOG,H2_EL_PT041,H2_EL_C008;H2_EL_C013,H2_EL_PT041___CONDITION_APPLICATION_FORM,exponent;condition_application_form,H2_EL_PT041_01_condition_application_form,,matched_by_source_subunit,,teacher_review_recommended,0.9,example_of_engine_type,SIDAE_SU1_MORE,시대인재 MORE 대수,005,,,,False,False
SIDAE_SU1_MORE_ALG_Q006,대수,H2_EXP_LOG,H2_EL_PT041,H2_EL_C008;H2_EL_C013,H2_EL_PT041___CONDITION_APPLICATION_FORM,exponent;condition_application_form,H2_EL_PT041_01_condition_application_form,,matched_by_source_subunit,,teacher_review_recommended,0.9,example_of_engine_type,SIDAE_SU1_MORE,시대인재 MORE 대수,006,,,,False,False
SIDAE_SU1_MORE_ALG_Q007,대수,H2_EXP_LOG,H2_EL_PT041,H2_EL_C008;H2_EL_C013,H2_EL_PT041___CONDITION_APPLICATION_FORM,exponent;condition_application_form,H2_EL_PT041_01_condition_application_form,,matched_by_source_subunit,,teacher_review_recommended,0.9,example_of_engine_type,SIDAE_SU1_MORE,시대인재 MORE 대수,007,,,,False,False
SIDAE_SU1_MORE_ALG_Q008,대수,H2_EXP_LOG,H2_EL_PT041,H2_EL_C008;H2_EL_C013,H2_EL_PT041___CONDITION_APPLICATION_FORM,exponent;condition_application_form,H2_EL_PT041_01_condition_application_form,,matched_by_source_subunit,,teacher_review_recommended,0.9,example_of_engine_type,SIDAE_SU1_MORE,시대인재 MORE 대수,008,,,,False,False
SIDAE_SU1_MORE_ALG_Q009,대수,H2_EXP_LOG,H2_EL_PT041,H2_EL_C008;H2_EL_C013,H2_EL_PT041___CONDITION_APPLICATION_FORM,exponent;condition_application_form,H2_EL_PT041_01_condition_application_form,,matched_by_source_subunit,,teacher_review_recommended,0.9,example_of_engine_type,SIDAE_SU1_MORE,시대인재 MORE 대수,009,,,,False,False
SIDAE_SU1_MORE_ALG_Q010,대수,H2_EXP_LOG,H2_EL_PT041,H2_EL_C008;H2_EL_C013,H2_EL_PT041___MIXED_REVIEW_FORM,exponent;mixed_review_form,H2_EL_PT041_01_mixed_review_form,,matched_by_source_subunit,,teacher_review_recommended,1.0,example_of_engine_type,SIDAE_SU1_MORE,시대인재 MORE 대수,010,,,,False,False
SIDAE_SU1_MORE_ALG_Q011,대수,H2_EXP_LOG,H2_EL_PT041,H2_EL_C008;H2_EL_C013,H2_EL_PT041___MIXED_REVIEW_FORM,exponent;mixed_review_form,H2_EL_PT041_01_mixed_review_form,,matched_by_source_subunit,,teacher_review_recommended,1.0,example_of_engine_type,SIDAE_SU1_MORE,시대인재 MORE 대수,011,,,,False,False
SIDAE_SU1_MORE_ALG_Q012,대수,H2_EXP_LOG,H2_EL_PT041,H2_EL_C008;H2_EL_C013,H2_EL_PT041___MIXED_REVIEW_FORM,exponent;mixed_review_form,H2_EL_PT041_01_mixed_review_form,,matched_by_source_subunit,,teacher_review_recommended,1.0,example_of_engine_type,SIDAE_SU1_MORE,시대인재 MORE 대수,012,,,,False,False
